"Zone","DateTime","Temperature","Humidity","Wind.Speed","general.diffuse.flows","diffuse.flows","Date","Month","Weekday","Hour","DayOfWeek","Power","Outlier"
"Zone.2..Power.Consumption",2020-08-03 17:20:10,29.39,48.08,4.903,8.88,7.61,2020-08-03,"Aug","Mon",17,"Mon",36353.53749,TRUE
"Zone.2..Power.Consumption",2020-08-03 17:20:30,29.16,50.12,4.905,1.024,0.926,2020-08-03,"Aug","Mon",17,"Mon",36391.55227,TRUE
"Zone.2..Power.Consumption",2020-08-03 17:19:50,29.91,45.82,4.903,31.61,28.41,2020-08-03,"Aug","Mon",17,"Mon",36429.56705,TRUE
"Zone.2..Power.Consumption",2020-08-03 17:20:20,29.27,49.52,4.906,3.397,2.794,2020-08-03,"Aug","Mon",17,"Mon",36437.17001,TRUE
"Zone.2..Power.Consumption",2020-08-03 17:20:00,29.66,46.88,4.905,18.37,16.07,2020-08-03,"Aug","Mon",17,"Mon",36482.78775,TRUE
"Zone.2..Power.Consumption",2020-07-24 17:19:30,29.94,35.98,4.91,104.9,116.3,2020-07-24,"Jul","Fri",17,"Fri",36645.56962,TRUE
"Zone.2..Power.Consumption",2020-07-24 17:19:40,29.79,35.68,4.908,81.2,90,2020-07-24,"Jul","Fri",17,"Fri",37408.86076,TRUE
"Zone.3..Power.Consumption",2020-07-28 17:00:20,26.04,76.3,4.905,0.091,0.085,2020-07-28,"Jul","Tue",17,"Tue",34373.22176,TRUE
"Zone.3..Power.Consumption",2020-08-17 17:22:30,23.6,62.91,0.067,0.084,0.104,2020-08-17,"Aug","Mon",17,"Mon",34373.41693,TRUE
"Zone.3..Power.Consumption",2020-07-19 17:23:50,28.5,41.55,4.919,0.121,0.1,2020-07-19,"Jul","Sun",17,"Sun",34379.24686,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:12:30,28.2,55.33,4.907,860,65.16,2020-07-25,"Jul","Sat",17,"Sat",34379.24686,TRUE
"Zone.3..Power.Consumption",2020-08-07 17:23:00,26.58,86.1,4.908,0.077,0.119,2020-08-07,"Aug","Fri",17,"Fri",34379.43574,TRUE
"Zone.3..Power.Consumption",2020-07-13 17:23:40,24.08,85.9,4.913,0.073,0.152,2020-07-13,"Jul","Mon",17,"Mon",34385.27197,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:21:40,24.56,84.6,4.919,0.084,0.126,2020-07-03,"Jul","Fri",17,"Fri",34391.29707,TRUE
"Zone.3..Power.Consumption",2020-07-05 17:22:10,25.03,83.8,4.92,0.088,0.111,2020-07-05,"Jul","Sun",17,"Sun",34391.29707,TRUE
"Zone.3..Power.Consumption",2020-07-26 17:13:20,34.2,37.85,4.906,874,63.55,2020-07-26,"Jul","Sun",17,"Sun",34391.29707,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:21:30,24.57,84.3,4.919,0.055,0.148,2020-07-03,"Jul","Fri",17,"Fri",34403.34728,TRUE
"Zone.3..Power.Consumption",2020-08-03 17:22:20,26.07,64.25,4.907,0.095,0.115,2020-08-03,"Aug","Mon",17,"Mon",34403.51097,TRUE
"Zone.3..Power.Consumption",2020-07-01 17:22:10,25.03,58.41,4.916,0.091,0.093,2020-07-01,"Jul","Wed",17,"Wed",34409.37238,TRUE
"Zone.3..Power.Consumption",2020-07-31 17:19:10,27.14,56.56,4.906,134.6,140.6,2020-07-31,"Jul","Fri",17,"Fri",34409.37238,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:12:20,28.25,55.39,4.908,853,64.71,2020-07-25,"Jul","Sat",17,"Sat",34415.39749,TRUE
"Zone.3..Power.Consumption",2020-07-30 17:23:10,23.37,62.76,4.908,0.121,0.093,2020-07-30,"Jul","Thu",17,"Thu",34433.4728,TRUE
"Zone.3..Power.Consumption",2020-08-04 17:22:30,25.16,84.9,4.907,0.062,0.115,2020-08-04,"Aug","Tue",17,"Tue",34439.62382,TRUE
"Zone.3..Power.Consumption",2020-08-06 17:22:40,27.73,74.1,4.907,0.073,0.152,2020-08-06,"Aug","Thu",17,"Thu",34439.62382,TRUE
"Zone.3..Power.Consumption",2020-08-09 17:20:50,30.2,46.48,4.907,0.091,0.141,2020-08-09,"Aug","Sun",17,"Sun",34451.66144,TRUE
"Zone.3..Power.Consumption",2020-08-05 17:22:50,25.83,84.7,4.911,0.066,0.13,2020-08-05,"Aug","Wed",17,"Wed",34457.68025,TRUE
"Zone.3..Power.Consumption",2020-08-14 17:21:50,23.16,50.56,4.907,0.102,0.078,2020-08-14,"Aug","Fri",17,"Fri",34463.69906,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:18:20,28.83,47.62,4.908,299.9,303,2020-07-25,"Jul","Sat",17,"Sat",34475.64854,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:00:40,23.87,47.98,4.91,0.11,0.082,2020-07-25,"Jul","Sat",17,"Sat",34481.67364,TRUE
"Zone.3..Power.Consumption",2020-07-27 17:00:10,27.2,45.12,4.907,0.117,0.104,2020-07-27,"Jul","Mon",17,"Mon",34487.69874,TRUE
"Zone.3..Power.Consumption",2020-08-03 17:19:20,30.09,45.32,4.904,87.1,84.5,2020-08-03,"Aug","Mon",17,"Mon",34487.77429,TRUE
"Zone.3..Power.Consumption",2020-07-07 17:21:50,30.88,35.18,4.921,0.08,0.122,2020-07-07,"Jul","Tue",17,"Tue",34493.72385,TRUE
"Zone.3..Power.Consumption",2020-07-09 17:19:30,30.6,32.52,4.917,113.7,117.5,2020-07-09,"Jul","Thu",17,"Thu",34493.72385,TRUE
"Zone.3..Power.Consumption",2020-07-10 17:23:10,27.64,30.31,4.916,0.102,0.085,2020-07-10,"Jul","Fri",17,"Fri",34493.72385,TRUE
"Zone.3..Power.Consumption",2020-07-12 17:23:20,24.48,83.9,4.91,0.084,0.163,2020-07-12,"Jul","Sun",17,"Sun",34499.74895,TRUE
"Zone.3..Power.Consumption",2020-07-09 17:23:00,24.62,56.66,4.912,0.062,0.119,2020-07-09,"Jul","Thu",17,"Thu",34511.79916,TRUE
"Zone.3..Power.Consumption",2020-08-11 17:22:20,29.38,26.88,4.908,0.069,0.096,2020-08-11,"Aug","Tue",17,"Tue",34517.86834,TRUE
"Zone.3..Power.Consumption",2020-07-11 17:23:10,23.55,72.1,4.908,0.088,0.107,2020-07-11,"Jul","Sat",17,"Sat",34547.94979,TRUE
"Zone.3..Power.Consumption",2020-07-14 17:23:40,25.45,81.1,4.917,0.088,0.144,2020-07-14,"Jul","Tue",17,"Tue",34547.94979,TRUE
"Zone.3..Power.Consumption",2020-07-17 17:23:40,26.54,48.29,4.924,0.084,0.096,2020-07-17,"Jul","Fri",17,"Fri",34547.94979,TRUE
"Zone.3..Power.Consumption",2020-07-24 17:00:10,24.26,63.45,4.904,0.066,0.133,2020-07-24,"Jul","Fri",17,"Fri",34547.94979,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:12:40,28.35,52.16,4.907,866,64.18,2020-07-25,"Jul","Sat",17,"Sat",34547.94979,TRUE
"Zone.3..Power.Consumption",2020-07-26 17:00:20,22.68,75.5,4.908,0.073,0.189,2020-07-26,"Jul","Sun",17,"Sun",34547.94979,TRUE
"Zone.3..Power.Consumption",2020-08-20 17:21:30,25.59,84.6,4.924,0.084,0.13,2020-08-20,"Aug","Thu",17,"Thu",34553.98119,TRUE
"Zone.3..Power.Consumption",2020-07-05 17:22:00,25.13,83.6,4.917,0.069,0.126,2020-07-05,"Jul","Sun",17,"Sun",34560,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:13:20,28.85,48.06,4.91,873,60.89,2020-07-25,"Jul","Sat",17,"Sat",34566.0251,TRUE
"Zone.3..Power.Consumption",2020-08-12 17:22:40,24.08,49.22,4.904,0.091,0.067,2020-08-12,"Aug","Wed",17,"Wed",34572.03762,TRUE
"Zone.3..Power.Consumption",2020-07-02 17:19:50,25.58,77.2,4.928,57.79,51.27,2020-07-02,"Jul","Thu",17,"Thu",34572.05021,TRUE
"Zone.3..Power.Consumption",2020-08-02 17:21:40,25.66,59.76,4.905,0.099,0.063,2020-08-02,"Aug","Sun",17,"Sun",34578.05643,TRUE
"Zone.3..Power.Consumption",2020-08-10 17:22:30,28.75,31.11,4.908,0.08,0.107,2020-08-10,"Aug","Mon",17,"Mon",34578.05643,TRUE
"Zone.3..Power.Consumption",2020-07-28 17:23:20,26.53,45.32,4.91,0.095,0.093,2020-07-28,"Jul","Tue",17,"Tue",34578.07531,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:21:20,24.63,84.1,4.918,0.084,0.156,2020-07-03,"Jul","Fri",17,"Fri",34584.10042,TRUE
